Squeezer,Adversarial Attack,Legitimate Accuracy,Adversarial Detection Rate
4-bit_newmean,None,0.912,N/A
4-bit_newmean,LinfPGD,0.049746192893401014,0.3105
4-bit_newmean,Deepfool,0.14442231075697212,0.8996
4-bit_newmean,FGSM,0.5406613047363718,0.3286
5-bit_newmean,None,0.9413,N/A
5-bit_newmean,LinfPGD,0.0360561979360935,0.1957
5-bit_newmean,Deepfool,0.10682492581602374,0.8989
5-bit_newmean,FGSM,0.5228464419475656,0.3325
Median 2x2,None,0.873,N/A
Median 2x2,LinfPGD,0.13516405135520684,0.7196
Median 2x2,Deepfool,0.1343408900083963,0.8809
Median 2x2,FGSM,0.6364091440013349,0.4007
Median 3x3,None,0.782,N/A
Median 3x3,LinfPGD,0.1958413926499033,0.7932
Median 3x3,Deepfool,0.13277428371767994,0.8569
Median 3x3,FGSM,0.7001140250855188,0.4738
NLM 11-3-2,None,0.9002,N/A
NLM 11-3-2,LinfPGD,0.040095226162135074,0.2019
NLM 11-3-2,Deepfool,0.06065400843881857,0.8104
NLM 11-3-2,FGSM,0.4805997632513482,0.2397
NLM 11-3-4,None,0.8698,N/A
NLM 11-3-4,LinfPGD,0.06456720619282195,0.4316
NLM 11-3-4,Deepfool,0.07565011820330969,0.8308
NLM 11-3-4,FGSM,0.5155016910935738,0.2904
NLM 13-3-2,None,0.9002,N/A
NLM 13-3-2,LinfPGD,0.03884234577303884,0.2122
NLM 13-3-2,Deepfool,0.06246605105920695,0.8159
NLM 13-3-2,FGSM,0.4818169708272279,0.2493
NLM 13-3-4,None,0.8679,N/A
NLM 13-3-4,LinfPGD,0.0633828323071351,0.4478
NLM 13-3-4,Deepfool,0.07596439169139466,0.8315
NLM 13-3-4,FGSM,0.51994301994302,0.298
"Combined (5-bit, Median 2x2, NLM 13-3-2)",LinfPGD,0.14029505351460805,0.6543
"Combined (5-bit, Median 2x2, NLM 13-3-2)",Deepfool,0.1428069559107676,0.4307
"Combined (5-bit, Median 2x2, NLM 13-3-2)",FGSM,0.6008664259927797,0.3075
